Tx,Latency
0,2.61
1,3.30
2,2.45
3,3.30
4,2.51
5,9.45
5,1.90
6,2.50
7,2.13
8,2.29
9,2.68
10,2.56
11,2.58
11,0.16
12,-536591.38
13,2.26
14,2.35
15,2.58
16,2.49
17,2.04
18,2.19
19,2.44
20,2.36
21,2.09
22,2.27
22,0.09
23,-536426.75
24,2.53
25,3.30
26,3.12
27,3.39
27,0.56
28,-536402.25
28,0.54
29,-536347.31
30,2.55
31,2.53
32,2.13
33,9.32
