Tx,Time,MAC,PosX,PosY,Temp,Hum,Pres,Batt,RSSI,HopCount
22,00:05:36,e8:31:cd:70:f1:6c,0.0,0.0,23.00,32.88,1005.95,1.132,-51.0,0
22,16:23:07,e8:31:cd:70:fd:54,-33.81911,18.98184,15.68,48.33,1017.54,3.968,-79.0,1
22,00:05:48,e8:31:cd:70:f1:6c,0.0,0.0,22.92,32.86,1006.15,1.132,-47.0,0
23,00:05:50,e8:31:cd:70:f1:6c,0.0,0.0,22.91,32.87,1006.15,1.134,-48.0,0
23,16:23:21,e8:31:cd:70:fd:54,-33.81914,18.98182,15.63,48.75,1017.62,3.976,-77.0,1
24,00:06:04,e8:31:cd:70:f1:6c,0.0,0.0,22.89,33.01,1006.21,1.133,-54.0,0
24,16:23:35,e8:31:cd:70:fd:54,-33.81916,18.9818,15.64,48.54,1017.54,3.968,-77.0,1
25,00:06:19,e8:31:cd:70:f1:6c,0.0,0.0,22.95,34.44,1006.07,1.133,-54.0,0
25,16:23:49,e8:31:cd:70:fd:54,-33.81917,18.9818,15.63,48.70,1017.54,3.969,-79.0,1
26,00:06:34,e8:31:cd:70:f1:6c,0.0,0.0,22.94,33.02,1006.09,1.133,-52.0,0
26,16:24:05,e8:31:cd:70:fd:54,-33.81921,18.98177,15.61,49.11,1017.64,3.966,-78.0,1
27,00:06:49,e8:31:cd:70:f1:6c,0.0,0.0,22.89,33.01,1006.12,1.132,-52.0,0
27,16:24:19,e8:31:cd:70:fd:54,-33.81921,18.98177,15.55,49.31,1017.74,3.968,-82.0,1
27,00:07:01,e8:31:cd:70:f1:6c,0.0,0.0,22.87,33.14,1006.15,1.133,-53.0,0
28,00:07:03,e8:31:cd:70:f1:6c,0.0,0.0,22.82,33.10,1006.21,1.132,-67.0,0
28,16:24:34,e8:31:cd:70:fd:54,-33.81919,18.98179,15.50,49.61,1017.77,3.948,-78.0,1
28,00:07:15,e8:31:cd:70:f1:6c,0.0,0.0,22.87,33.43,1006.24,1.132,-72.0,0
29,00:07:17,e8:31:cd:70:f1:6c,0.0,0.0,22.89,33.40,1006.21,1.132,-54.0,0
29,16:24:47,e8:31:cd:70:fd:54,-33.81919,18.98179,15.53,49.49,1017.85,3.966,-81.0,1
30,00:07:31,e8:31:cd:70:f1:6c,0.0,0.0,22.92,32.93,1006.15,1.132,-58.0,0
30,16:25:02,e8:31:cd:70:fd:54,-33.81919,18.98179,15.48,49.83,1017.87,3.968,-83.0,1
31,16:25:16,e8:31:cd:70:fd:54,-33.8192,18.9818,15.42,49.76,1018.03,3.962,-81.0,1
31,00:07:45,e8:31:cd:70:f1:6c,0.0,0.0,22.93,33.01,1006.12,1.133,-58.0,0
31,16:25:15,e8:31:cd:70:f1:7c,-33.81925,18.98173,16.65,48.17,1018.48,3.980,-93.0,1
32,00:07:59,e8:31:cd:70:f1:6c,0.0,0.0,22.97,33.74,1006.06,1.133,-53.0,0
32,16:25:30,e8:31:cd:70:fd:54,-33.81919,18.98181,15.36,49.85,1018.05,3.941,-83.0,1
33,00:08:20,e8:31:cd:70:f1:6c,0.0,0.0,22.99,33.40,1005.98,1.133,-48.0,0
